run_id,package_id,package_type,uld_id,x0,y0,z0,x1,y1,z1,vol_l,vol_w,vol_h,volume,orientation_used
1,E-004,Economy,ULD-2,0.0,80.0,0.0,60.0,170.0,70.0,60.0,90.0,70.0,378000.0,"[60, 90, 70]"
1,E-007,Economy,ULD-2,0.0,40.0,100.0,70.0,85.0,155.0,70.0,45.0,55.0,173250.0,"[70, 45, 55]"
1,E-001,Economy,ULD-2,0.0,85.0,70.0,50.0,165.0,130.0,50.0,80.0,60.0,240000.0,"[50, 80, 60]"
1,E-005,Economy,ULD-2,50.0,85.0,70.0,100.0,145.0,110.0,50.0,60.0,40.0,120000.0,"[50, 60, 40]"
1,E-009,Economy,ULD-2,100.0,80.0,0.0,175.0,145.0,95.0,75.0,65.0,95.0,463125.0,"[75, 65, 95]"
1,E-008,Economy,ULD-2,0.0,0.0,130.0,40.0,35.0,160.0,40.0,35.0,30.0,42000.0,"[40, 35, 30]"
1,E-002,Economy,ULD-3,0.0,0.0,0.0,110.0,70.0,80.0,110.0,70.0,80.0,616000.0,"[110, 70, 80]"
2,P-003,Priority,ULD-1,0.0,0.0,0.0,60.0,50.0,40.0,60.0,50.0,40.0,120000.0,"[60, 50, 40]"
2,P-002,Priority,ULD-1,0.0,0.0,40.0,80.0,60.0,140.0,80.0,60.0,100.0,480000.0,"[80, 60, 100]"
2,P-006,Priority,ULD-1,0.0,60.0,0.0,90.0,120.0,70.0,90.0,60.0,70.0,378000.0,"[90, 60, 70]"
2,P-001,Priority,ULD-1,0.0,60.0,70.0,60.0,110.0,150.0,60.0,50.0,80.0,240000.0,"[60, 50, 80]"
2,P-005,Priority,ULD-1,0.0,110.0,70.0,50.0,180.0,130.0,50.0,70.0,60.0,210000.0,"[50, 70, 60]"
2,P-004,Priority,ULD-1,60.0,60.0,70.0,150.0,180.0,140.0,90.0,120.0,70.0,756000.0,"[90, 120, 70]"
2,E-007,Economy,ULD-2,0.0,0.0,0.0,45.0,70.0,55.0,45.0,70.0,55.0,173250.0,"[45, 70, 55]"
2,E-003,Economy,ULD-1,0.0,110.0,130.0,40.0,160.0,160.0,40.0,50.0,30.0,60000.0,"[40, 50, 30]"
2,E-010,Economy,ULD-2,0.0,0.0,55.0,45.0,35.0,110.0,45.0,35.0,55.0,86625.0,"[45, 35, 55]"
2,E-006,Economy,ULD-2,0.0,35.0,55.0,130.0,115.0,155.0,130.0,80.0,100.0,1040000.0,"[130, 80, 100]"
2,E-009,Economy,ULD-2,130.0,0.0,0.0,195.0,75.0,95.0,65.0,75.0,95.0,463125.0,"[65, 75, 95]"
2,E-008,Economy,ULD-2,0.0,70.0,0.0,35.0,110.0,30.0,35.0,40.0,30.0,42000.0,"[35, 40, 30]"
2,E-002,Economy,ULD-2,130.0,75.0,0.0,200.0,155.0,110.0,70.0,80.0,110.0,616000.0,"[70, 80, 110]"
2,E-001,Economy,ULD-2,0.0,115.0,0.0,80.0,165.0,60.0,80.0,50.0,60.0,240000.0,"[80, 50, 60]"
2,E-005,Economy,ULD-3,0.0,0.0,0.0,60.0,50.0,40.0,60.0,50.0,40.0,120000.0,"[60, 50, 40]"
2,E-004,Economy,ULD-3,0.0,0.0,40.0,60.0,90.0,110.0,60.0,90.0,70.0,378000.0,"[60, 90, 70]"
3,P-006,Priority,ULD-3,0.0,0.0,0.0,70.0,90.0,60.0,70.0,90.0,60.0,378000.0,"[70, 90, 60]"
3,P-001,Priority,ULD-3,0.0,0.0,60.0,50.0,80.0,120.0,50.0,80.0,60.0,240000.0,"[50, 80, 60]"
3,P-002,Priority,ULD-3,50.0,0.0,60.0,130.0,100.0,120.0,80.0,100.0,60.0,480000.0,"[80, 100, 60]"
3,P-005,Priority,ULD-3,0.0,100.0,0.0,60.0,150.0,70.0,60.0,50.0,70.0,210000.0,"[60, 50, 70]"
3,P-004,Priority,ULD-1,0.0,0.0,0.0,120.0,70.0,90.0,120.0,70.0,90.0,756000.0,"[120, 70, 90]"
3,P-003,Priority,ULD-3,0.0,80.0,70.0,40.0,140.0,120.0,40.0,60.0,50.0,120000.0,"[40, 60, 50]"
3,E-003,Economy,ULD-1,0.0,0.0,90.0,50.0,40.0,120.0,50.0,40.0,30.0,60000.0,"[50, 40, 30]"
3,E-009,Economy,ULD-1,0.0,70.0,0.0,95.0,135.0,75.0,95.0,65.0,75.0,463125.0,"[95, 65, 75]"
3,E-002,Economy,ULD-1,95.0,70.0,0.0,175.0,140.0,110.0,80.0,70.0,110.0,616000.0,"[80, 70, 110]"
3,E-010,Economy,ULD-1,0.0,40.0,90.0,35.0,85.0,145.0,35.0,45.0,55.0,86625.0,"[35, 45, 55]"
3,E-007,Economy,ULD-1,0.0,85.0,75.0,55.0,155.0,120.0,55.0,70.0,45.0,173250.0,"[55, 70, 45]"
3,E-004,Economy,ULD-1,50.0,0.0,90.0,140.0,60.0,160.0,90.0,60.0,70.0,378000.0,"[90, 60, 70]"
3,E-008,Economy,ULD-2,0.0,0.0,0.0,35.0,40.0,30.0,35.0,40.0,30.0,42000.0,"[35, 40, 30]"
3,E-001,Economy,ULD-2,0.0,0.0,30.0,50.0,80.0,90.0,50.0,80.0,60.0,240000.0,"[50, 80, 60]"
3,E-006,Economy,ULD-2,0.0,80.0,0.0,130.0,180.0,80.0,130.0,100.0,80.0,1040000.0,"[130, 100, 80]"
3,E-005,Economy,ULD-2,0.0,0.0,90.0,40.0,50.0,150.0,40.0,50.0,60.0,120000.0,"[40, 50, 60]"
4,P-002,Priority,ULD-1,0.0,0.0,0.0,80.0,60.0,100.0,80.0,60.0,100.0,480000.0,"[80, 60, 100]"
4,P-005,Priority,ULD-1,0.0,60.0,0.0,50.0,120.0,70.0,50.0,60.0,70.0,210000.0,"[50, 60, 70]"
4,P-003,Priority,ULD-1,0.0,0.0,100.0,50.0,60.0,140.0,50.0,60.0,40.0,120000.0,"[50, 60, 40]"
4,P-006,Priority,ULD-1,0.0,60.0,70.0,90.0,130.0,130.0,90.0,70.0,60.0,378000.0,"[90, 70, 60]"
4,P-004,Priority,ULD-1,90.0,0.0,0.0,180.0,70.0,120.0,90.0,70.0,120.0,756000.0,"[90, 70, 120]"
4,P-001,Priority,ULD-1,0.0,120.0,0.0,80.0,180.0,50.0,80.0,60.0,50.0,240000.0,"[80, 60, 50]"
4,E-002,Economy,ULD-2,0.0,0.0,0.0,70.0,80.0,110.0,70.0,80.0,110.0,616000.0,"[70, 80, 110]"
4,E-005,Economy,ULD-1,0.0,130.0,50.0,40.0,180.0,110.0,40.0,50.0,60.0,120000.0,"[40, 50, 60]"
4,E-004,Economy,ULD-2,0.0,80.0,0.0,70.0,140.0,90.0,70.0,60.0,90.0,378000.0,"[70, 60, 90]"
4,E-006,Economy,ULD-2,70.0,0.0,0.0,170.0,130.0,80.0,100.0,130.0,80.0,1040000.0,"[100, 130, 80]"
4,E-010,Economy,ULD-2,0.0,0.0,110.0,55.0,45.0,145.0,55.0,45.0,35.0,86625.0,"[55, 45, 35]"
4,E-007,Economy,ULD-2,0.0,80.0,90.0,45.0,150.0,145.0,45.0,70.0,55.0,173250.0,"[45, 70, 55]"
4,E-008,Economy,ULD-2,0.0,45.0,110.0,35.0,75.0,150.0,35.0,30.0,40.0,42000.0,"[35, 30, 40]"
4,E-001,Economy,ULD-2,45.0,80.0,90.0,125.0,130.0,150.0,80.0,50.0,60.0,240000.0,"[80, 50, 60]"
4,E-003,Economy,ULD-2,45.0,130.0,90.0,85.0,180.0,120.0,40.0,50.0,30.0,60000.0,"[40, 50, 30]"
4,E-009,Economy,ULD-3,0.0,0.0,0.0,65.0,75.0,95.0,65.0,75.0,95.0,463125.0,"[65, 75, 95]"
